Hospital,Date, cases, adultM, adultF, childM, childF, babyM, babyF, major, minor, otherCase, conflict, chronic, other, admission, referral, discharge, death
Hospital1,6/28/2014,58,42,2,11,3,0,0,5,9,44,22,0,36,5,1,53,1
Hospital1,6/29/2014,54,32,5,12,5,0,0,3,10,41,14,0,40,2,0,52,0
Hospital1,6/30/2014,60,37,10,11,2,0,0,5,0,55,18,0,42,0,0,60,0
Hospital1,7/1/2014,65,42,3,14,6,0,0,2,5,58,22,0,43,1,0,64,0
Hospital1,7/2/2014,59,37,9,9,4,0,0,5,1,53,15,0,44,3,0,56,0
Hospital1,7/3/2014,55,42,2,8,3,0,0,4,7,44,15,0,40,4,0,51,0
Hospital1,7/4/2014,33,26,3,3,1,0,0,1,2,30,22,0,11,3,0,31,1
Hospital1,7/5/2014,58,42,2,11,3,0,0,5,9,44,22,0,36,5,1,53,1
Hospital1,7/6/2014,54,32,5,12,5,0,0,3,10,41,14,0,40,2,0,52,0
Hospital1,7/7/2014,60,37,10,11,2,0,0,5,0,55,18,0,42,0,0,60,0
Hospital1,7/8/2014,65,42,3,14,6,0,0,2,5,58,22,0,43,1,0,64,0
Hospital1,7/9/2014,59,37,9,9,4,0,0,5,1,53,15,0,44,3,0,56,0
Hospital1,7/10/2014,55,42,2,8,3,0,0,4,7,44,15,0,40,4,0,51,0
Hospital1,7/11/2014,33,26,3,3,1,0,0,1,2,30,22,0,11,3,0,31,1
Hospital1,7/12/2014,55,43,0,9,3,0,0,5,2,48,25,0,30,5,0,50,0
Hospital1,7/13/2014,51,39,1,8,3,0,0,1,5,45,16,0,35,1,0,50,0
Hospital1,7/14/2014,70,48,9,9,4,0,0,5,7,58,22,0,48,2,0,68,0
Hospital1,7/15/2014,37,24,2,8,3,0,0,4,2,31,8,0,29,2,0,35,0
Hospital1,7/16/2014,40,29,2,7,2,0,0,1,2,37,14,0,26,0,0,40,0
Hospital1,7/17/2014,39,28,1,6,4,0,0,4,4,31,14,0,25,1,1,37,0
Hospital1,7/18/2014,32,20,1,9,2,0,0,3,3,25,20,0,12,2,0,30,1
Hospital1,7/19/2014,78,46,6,19,7,0,0,0,4,74,12,0,66,0,0,78,0
Hospital1,7/20/2014,66,43,7,11,5,0,0,4,2,60,13,0,53,4,0,62,0
Hospital1,7/21/2014,53,34,4,12,3,0,0,5,6,42,16,0,37,3,0,50,0
Hospital1,7/22/2014,53,32,5,13,3,0,0,5,3,45,12,0,41,4,1,48,0
Hospital1,7/23/2014,35,25,1,8,1,0,0,0,5,30,11,0,24,0,0,35,0
Hospital1,7/24/2014,70,55,4,8,3,0,0,6,12,52,54,0,16,13,0,64,7
Hospital1,7/25/2014,26,22,2,1,1,0,0,1,2,23,20,0,6,0,0,26,0
Hospital1,7/26/2014,59,37,9,9,4,0,0,5,1,53,15,0,44,3,0,56,0
Hospital1,7/27/2014,55,42,2,8,3,0,0,4,7,44,15,0,40,4,0,51,0
Hospital1,7/28/2014,33,26,3,3,1,0,0,1,2,30,22,0,11,3,0,31,1
Hospital1,7/29/2014,55,43,0,9,3,0,0,5,2,48,25,0,30,5,0,50,0
Hospital1,7/30/2014,51,39,1,8,3,0,0,1,5,45,16,0,35,1,0,50,0
Hospital1,7/31/2014,78,46,6,19,7,0,0,0,4,74,12,0,66,0,0,78,0
Hospital2,6/30/2014,274,45,48,40,45,41,55,2,29,12,20,21,82,5,0,5,0
Hospital2,7/1/2014,241,44,37,38,38,42,42,3,26,18,21,18,106,7,0,7,0
Hospital2,7/2/2014,281,54,41,47,47,45,47,5,25,16,22,16,75,5,0,4,0
Hospital2,7/3/2014,286,41,44,43,41,43,74,4,27,5,14,21,88,4,0,6,0
Hospital2,7/4/2014,238,39,43,39,30,46,41,5,26,16,18,20,76,6,1,0,0
Hospital2,7/5/2014,249,40,35,41,41,47,45,1,20,16,19,19,76,10,0,10,1
Hospital2,7/6/2014,256,44,42,42,45,41,42,4,27,25,15,15,75,7,0,6,0
Hospital2,7/7/2014,307,53,55,45,55,44,55,6,29,11,21,22,95,7,0,9,0
Hospital2,7/8/2014,286,41,71,45,42,45,42,8,26,8,22,14,68,10,2,9,0
Hospital2,7/9/2014,280,51,41,45,48,48,47,8,34,10,15,21,90,8,0,7,0
Hospital2,7/10/2014,308,47,48,46,51,42,74,2,26,6,24,15,86,2,0,0,0
Hospital2,7/11/2014,268,45,45,48,45,40,45,1,15,17,12,14,87,3,0,6,2
Hospital2,7/12/2014,263,43,41,46,42,49,42,9,29,17,13,17,85,10,1,3,0
Hospital2,7/13/2014,276,47,44,44,49,45,47,2,24,12,15,18,85,2,0,0,0
Hospital2,7/14/2014,307,53,55,45,55,44,55,6,29,11,21,22,95,7,0,9,0
Hospital2,7/15/2014,286,41,71,45,42,45,42,8,26,8,22,14,68,10,2,9,0
Hospital2,7/16/2014,280,51,41,45,48,48,47,8,34,10,15,21,90,8,0,7,0
Hospital2,7/17/2014,308,47,48,46,51,42,74,2,26,6,24,15,86,2,0,0,0
Hospital2,7/18/2014,268,45,45,48,45,40,45,1,15,17,12,14,87,3,0,6,0
Hospital2,7/19/2014,276,47,44,44,49,45,47,2,24,12,15,18,85,2,0,0,0
Hospital2,7/20/2014,307,53,55,45,55,44,55,6,29,11,21,22,95,7,0,9,0
Hospital2,7/21/2014,286,41,71,45,42,45,42,8,26,8,22,14,68,10,2,9,0
Hospital2,7/22/2014,280,51,41,45,48,48,47,8,34,10,15,21,90,8,0,7,0
Hospital2,7/23/2014,280,51,41,45,48,48,47,8,34,10,15,21,90,8,0,7,0
Hospital2,7/24/2014,286,41,71,45,42,45,42,8,26,8,22,14,68,10,2,9,0
Hospital2,7/25/2014,280,51,41,45,48,48,47,8,34,10,15,21,90,8,0,7,0
Hospital2,7/26/2014,308,47,48,46,51,42,74,2,26,6,24,15,86,2,0,0,0
Hospital2,7/27/2014,276,47,44,44,49,45,47,2,24,12,15,18,85,2,0,0,0
Hospital2,7/28/2014,307,53,55,45,55,44,55,6,29,11,21,22,95,7,0,9,0
Hospital2,7/29/2014,286,41,71,45,42,45,42,8,26,8,22,14,68,10,2,9,0
Hospital2,7/30/2014,276,47,44,44,49,45,47,2,24,12,15,18,85,2,0,0,0
Hospital2,7/31/2014,307,53,55,45,55,44,55,6,29,11,21,22,95,7,0,9,0
Hospital3,6/28/2014,46,19,7,7,5,4,3,2,15,30,2,1,43,0,1,45,0
Hospital3,6/29/2014,20,5,6,5,0,0,1,3,3,14,0,1,19,0,0,20,0
Hospital3,6/30/2014,65,21,28,5,3,3,3,2,20,43,2,1,62,0,1,64,1
Hospital3,7/1/2014,17,4,9,2,0,0,1,1,3,13,1,0,16,0,1,16,0
Hospital3,7/2/2014,45,11,15,3,3,9,3,1,10,34,1,0,44,0,1,44,0
Hospital3,7/3/2014,46,19,7,7,5,4,3,2,15,30,2,1,43,0,1,45,0
Hospital3,7/4/2014,20,5,6,5,0,0,1,3,3,14,0,1,19,0,0,20,0
Hospital3,7/5/2014,65,21,28,5,3,3,3,2,20,43,2,1,62,0,1,64,0
Hospital3,7/6/2014,47,16,15,3,0,7,4,2,6,39,1,5,41,0,0,41,0
Hospital3,7/7/2014,50,19,17,6,3,3,1,1,9,40,0,3,47,0,1,49,0
Hospital3,7/8/2014,73,23,20,7,5,9,4,5,13,55,6,2,55,0,0,73,0
Hospital3,7/9/2014,40,11,14,4,2,3,2,4,6,30,0,0,40,0,2,39,0
Hospital3,7/10/2014,39,4,10,4,3,10,5,3,7,29,0,0,39,0,0,39,0
Hospital3,7/11/2014,58,30,8,2,2,5,4,7,27,24,25,0,33,0,3,55,2
Hospital3,7/12/2014,35,16,10,4,1,2,0,2,13,20,0,0,35,0,2,64,0
Hospital3,7/13/2014,28,11,11,3,0,2,0,1,5,22,0,0,28,0,0,41,0
Hospital4,6/30/2014,45,40,2,1,1,1,0,1,2,42,10,2,33,2,0,43,0
Hospital4,7/1/2014,44,38,2,1,2,1,0,0,2,42,11,2,31,2,0,42,0
Hospital4,7/2/2014,48,41,3,1,1,2,0,0,2,46,14,2,32,2,0,46,0
Hospital4,7/3/2014,62,55,3,1,1,1,1,0,3,59,20,2,40,2,0,60,0
Hospital4,7/4/2014,20,17,1,1,1,0,0,0,3,17,10,1,27,2,0,18,0
Hospital4,7/5/2014,38,32,3,1,1,0,1,2,3,33,12,1,25,2,1,35,0
Hospital4,7/6/2014,46,38,3,1,1,1,2,2,3,43,13,1,32,2,0,44,0
Hospital4,7/7/2014,33,25,5,1,1,1,0,0,2,31,8,3,22,4,1,28,0
Hospital4,7/8/2014,31,24,4,1,1,1,0,0,3,28,9,2,20,3,0,28,0
Hospital4,7/9/2014,50,44,4,1,1,0,0,2,3,45,11,3,36,5,1,44,0
Hospital4,7/10/2014,36,30,4,0,1,1,0,0,2,34,8,3,25,3,0,33,0
Hospital4,7/11/2014,48,43,3,0,0,1,1,0,2,46,10,2,36,4,0,44,0
Hospital4,7/12/2014,42,35,3,1,1,1,1,0,2,40,7,2,33,4,0,38,0
Hospital4,7/13/2014,50,43,3,1,1,1,1,1,2,47,11,2,37,4,0,46,0
Hospital5,7/1/2014,75,20,18,11,12,7,7,4,13,58,13,14,48,13,1,61,0
Hospital5,7/2/2014,72,17,13,12,10,9,11,7,12,53,16,9,47,7,1,64,0
Hospital5,7/3/2014,83,22,13,12,14,13,9,5,8,70,12,13,58,5,1,77,0
Hospital5,7/4/2014,82,20,20,13,11,12,6,6,14,62,17,11,54,9,1,71,1
Hospital5,7/5/2014,90,23,17,15,14,13,8,4,5,81,4,16,70,9,1,79,1
Hospital5,7/6/2014,69,16,12,12,8,11,10,4,13,52,10,9,50,11,1,56,1
Hospital5,7/7/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital5,7/7/2014,75,16,19,15,10,7,8,6,5,64,17,9,49,4,1,69,1
Hospital5,7/8/2014,74,17,14,14,8,12,9,3,8,63,4,13,57,4,0,70,0
Hospital5,7/9/2014,77,16,17,11,13,8,12,4,6,67,6,15,56,13,0,64,0
Hospital5,7/10/2014,68,18,12,10,12,7,9,4,11,53,16,11,41,6,2,59,1
Hospital5,7/11/2014,72,17,16,13,8,8,10,6,7,59,15,8,49,13,0,59,0
Hospital5,7/12/2014,82,23,17,14,12,9,7,4,13,65,11,14,57,13,2,67,0
Hospital5,7/13/2014,83,20,20,12,13,8,10,4,11,68,7,16,60,8,1,74,0
Hospital6,7/1/2014,19,13,0,2,1,3,0,0,18,1,12,6,1,0,0,17,1
Hospital6,7/2/2014,26,12,1,10,2,1,0,0,26,0,13,3,10,0,0,26,0
Hospital6,7/3/2014,32,19,3,4,1,4,1,2,27,3,14,8,10,1,2,26,3
Hospital6,7/4/2014,9,7,0,0,0,2,0,1,8,0,8,1,0,2,0,7,0
Hospital6,7/5/2014,34,18,2,5,2,7,0,1,31,2,11,20,3,2,3,27,2
Hospital6,7/6/2014,18,12,0,1,2,2,1,0,18,0,1,15,2,1,0,17,0
Hospital6,7/7/2014,21,6,5,4,4,0,2,1,0,20,2,3,16,3,0,18,0
Hospital6,7/8/2014,20,4,6,3,1,2,4,2,0,18,4,3,13,3,0,17,0
Hospital6,7/9/2014,18,6,2,5,3,0,2,2,0,16,1,3,14,1,0,17,0
Hospital6,7/10/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital6,7/11/2014,18,4,6,4,1,2,1,3,0,15,1,3,14,1,0,17,0
Hospital6,7/12/2014,17,5,5,1,1,1,4,1,0,16,3,4,10,1,0,16,0
Hospital6,7/13/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital6,7/14/2014,16,4,2,2,3,1,4,1,0,15,1,2,13,1,0,15,0
Hospital6,7/15/2014,15,3,4,3,3,1,1,2,0,13,1,1,13,1,0,14,0
Hospital6,7/16/2014,16,4,3,1,3,1,4,3,0,13,2,2,12,1,0,15,0
Hospital6,7/17/2014,19,6,5,3,2,1,2,3,0,16,1,4,14,2,0,17,0
Hospital6,7/18/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital6,7/19/2014,20,3,6,3,4,0,4,2,0,18,3,4,13,1,0,19,0
Hospital6,7/20/2014,19,5,5,3,2,2,2,1,0,18,3,1,15,1,0,18,0
Hospital6,7/21/2014,59,32,1,14,0,5,7,3,12,0,15,7,0,15,0,44,1
Hospital6,7/22/2014,81,39,4,10,7,9,12,0,15,0,15,12,0,15,0,66,0
Hospital6,7/23/2014,66,23,12,19,2,6,4,1,17,0,18,8,0,18,0,48,0
Hospital6,7/24/2014,90,41,11,21,6,5,6,5,24,0,29,0,0,29,0,61,0
Hospital6,7/25/2014,73,35,7,10,13,6,2,2,7,0,9,16,0,9,0,64,2
Hospital6,7/26/2014,67,14,6,9,11,12,15,0,8,0,8,2,0,8,0,51,0
Hospital6,7/27/2014,105,32,12,29,5,12,15,4,23,0,27,14,0,27,0,78,0
Hospital6,7/28/2014,19,6,5,3,2,1,2,3,0,16,1,4,14,2,0,17,0
Hospital6,7/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital6,7/30/2014,20,3,6,3,4,0,4,2,0,18,3,4,13,1,0,19,0
Hospital6,7/31/2014,19,5,5,3,2,2,2,1,0,18,3,1,15,1,0,18,0
